http://dbpedia.org/resource/FITS	application/fits	FITS
http://dbpedia.org/resource/Advanced_Audio_Coding	audio/aac, audio/aacp, audio/3gpp, audio/3gpp2, audio/mp4, audio/MP4A-LATM, audio/mpeg4-generic	Advanced Audio Coding
http://dbpedia.org/resource/XM_(file_format)	audio/xm	XM (file format)
http://dbpedia.org/resource/XM_%28file_format%29	audio/xm	XM (file format)
http://dbpedia.org/resource/Device_independent_file_format	application/x-dvi	Device independent file format
http://dbpedia.org/resource/FITS	image/fits	FITS
http://dbpedia.org/resource/XML_Schema_(W3C)	application/xml, text/xml	XML Schema (W3C)
http://dbpedia.org/resource/Extensible_Forms_Description_Language	application/xml, text/xml	Extensible Forms Description Language
http://dbpedia.org/resource/XML_Schema_%28W3C%29	application/xml, text/xml	XML Schema (W3C)
http://dbpedia.org/resource/Geography_Markup_Language	application/gml+xml	Geography Markup Language
http://dbpedia.org/resource/BMP_file_format	image/x-bmp	BMP file format
http://dbpedia.org/resource/Portable_Game_Notation	application/x-chess-pgn	Portable Game Notation
http://dbpedia.org/resource/Truevision_TGA	image/x-tga	Truevision TGA
http://dbpedia.org/resource/Advanced_Stream_Redirector	video/x-ms-asf	Advanced Stream Redirector
http://dbpedia.org/resource/Advanced_Systems_Format	video/x-ms-asf, application/vnd.ms-asf	Advanced Systems Format
http://dbpedia.org/resource/BMP_file_format	image/x-ms-bmp,	BMP file format
http://dbpedia.org/resource/JAR_(file_format)	application/x-java-archive	JAR (file format)
http://dbpedia.org/resource/Web_Ontology_Language	application/owl+xml, application/rdf+xml	Web Ontology Language
http://dbpedia.org/resource/Truevision_TGA	image/x-targa	Truevision TGA
http://dbpedia.org/resource/VCard	text/vcard	VCard
http://dbpedia.org/resource/RAR	application/x-rar-compressed	RAR
http://dbpedia.org/resource/Cabinet_(file_format)	application/vnd.ms-cab-compressed	Cabinet (file format)
http://dbpedia.org/resource/Cabinet_%28file_format%29	application/vnd.ms-cab-compressed	Cabinet (file format)
http://dbpedia.org/resource/ICalendar	text/calendar	ICalendar
http://dbpedia.org/resource/DOC_(computing)	application/msword	DOC (computing)
http://dbpedia.org/resource/Doc_%28computing%29	application/msword	Doc (computing)
http://dbpedia.org/resource/DGCA_(computing)	application/x-dgc-compressed	DGCA (computing)
http://dbpedia.org/resource/ISO_image	application/x-iso9660-image	ISO image
http://dbpedia.org/resource/PICT	image/x-pict	PICT
http://dbpedia.org/resource/7z	application/x-7z-compressed	7z
http://dbpedia.org/resource/Extended_Vector_Animation	application/x-eva	Extended Vector Animation
http://dbpedia.org/resource/Computer_Graphics_Metafile	image/cgm	Computer Graphics Metafile
http://dbpedia.org/resource/StuffIt	application/x-stuffit	StuffIt
http://dbpedia.org/resource/StuffIt	application/x-sit	StuffIt
http://dbpedia.org/resource/StuffIt	application/x-stuffitx	StuffIt
http://dbpedia.org/resource/PostScript_Printer_Description	text/plain, application/vnd.cups-ppd	PostScript Printer Description
http://dbpedia.org/resource/Deb_(file_format)	application/x-deb	Deb (file format)
http://dbpedia.org/resource/Deb_%28file_format%29	application/x-deb	Deb (file format)
http://dbpedia.org/resource/StuffIt	application/x-sitx	StuffIt
http://dbpedia.org/resource/.nfo	text/x-nfo	.nfo
http://dbpedia.org/resource/Comma-separated_values	text/csv	Comma-separated values
http://dbpedia.org/resource/X_PixMap	image/x-xpixmap	X PixMap
http://dbpedia.org/resource/Atom_(standard)	application/atom+xml	Atom (standard)
http://dbpedia.org/resource/Atom_%28standard%29	application/atom+xml	Atom (standard)
http://dbpedia.org/resource/Simple_file_verification	text/x-sfv	Simple file verification
http://dbpedia.org/resource/XSL_Formatting_Objects	text/xml	XSL Formatting Objects
http://dbpedia.org/resource/Extensible_Application_Markup_Language	application/xaml+xml	Extensible Application Markup Language
http://dbpedia.org/resource/OpenDocument	spreadsheet	OpenDocument
http://dbpedia.org/resource/.dwg	image/x-dwg	.dwg
http://dbpedia.org/resource/Musepack	audio/musepack	Musepack
http://dbpedia.org/resource/XSL_Formatting_Objects	application/xml,	XSL Formatting Objects
http://dbpedia.org/resource/OpenDocument	application/vnd.	OpenDocument
http://dbpedia.org/resource/.dwg	application/acad	.dwg
http://dbpedia.org/resource/.dwg	application/autocad_dwg	.dwg
http://dbpedia.org/resource/.dwg	application/dwg	.dwg
http://dbpedia.org/resource/.dwg	application/x-autocad	.dwg
http://dbpedia.org/resource/.dwg	image/vnd.dwg	.dwg
http://dbpedia.org/resource/.dwg	drawing/dwg	.dwg
